0.00,202492248071189400,202492248071189400
0.00,250502602113811200,250502602113811200
0.01,307903135143020000,307903135143020000
0.01,375722949107857400,375722949107857400
0.01,455169419150686900,455169419150686900
0.02,547431988778586000,547431988778586000
0.02,653640583401821800,653640583401821800
0.02,774817798427172400,774817798427172400
0.03,911825870263440100,911825870263440100
0.03,1065309925156276700,1065309925156276700
0.03,1235639487382510600,1235639487382510600
0.04,1422850680749723400,1422850680749723400
0.04,1626591937672904400,1626591937672904400
0.04,1846076299389152800,1846076299389152800
0.05,2080043512258777300,2080043512258777300
0.05,2326735067272745500,2326735067272745500
0.05,2583885070586131000,2583885070586131000
0.06,2848729362127094000,2848729362127094000
0.06,3118034621883292700,3118034621883292700
0.06,3388148340445575700,3388148340445575700
0.06,3655069519433987600,3655069519433987600
0.07,3914538861479581700,3914538861479581700
0.07,4162146073955353000,4162146073955353000
0.07,4393450819470629400,4393450819470629400
0.08,4604112876145109500,4604112876145109500
0.08,4790026295750493000,4790026295750493000
0.08,4947451832600654000,4947451832600654000
0.09,5073141710131715000,5073141710131715000
0.09,5164450924980096000,5164450924980096000
0.09,5219429766160952000,5219429766160952000
0.10,5236893030856070000,5236893030856070000
0.10,5216462505186565000,5216462505186565000
0.10,5158580583420520000,5158580583420520000
0.11,5064494340680523000,5064494340680523000
0.11,4936210860013201000,4936210860013201000
0.11,4776426048829414000,4776426048829414000
0.12,4588430470448640500,4588430470448640500
0.12,4375996783234836500,4375996783234836500
0.12,4143254159390708000,4143254159390708000
0.13,3894555506567728600,3894555506567728600
0.13,3634343421197665000,3634343421197665000
0.13,3367020570897575400,3367020570897575400
0.14,3096829665698205000,3096829665698205000
0.14,2827747385119725000,2827747385119725000
0.14,2563395645865659400,2563395645865659400
0.15,2306972497475891700,2306972497475891700
0.15,2061203797525260000,2061203797525260000
0.15,1828315717228569000,1828315717228569000
0.16,1610027127234723300,1610027127234723300
0.16,1407560063778666500,1407560063778666500
0.16,1221665813579403000,1221665813579403000
0.17,1052663701722665100,1052663701722665100
0.17,900489423809795300,900489423809795300
0.17,764749720828166800,764749720828166800
0.18,644780329414293500,644780329414293500
0.18,539704419561086340,539704419561086340
0.18,448489119214332100,448489119214332100
0.18,369998181638519000,369998181638519000
0.19,303039339217030500,303039339217030500
0.19,246405372611073540,246405372611073540
0.19,198908378715847260,198908378715847260
0.20,159407123155173500,159407123155173500
0.20,126827698818914690,126827698818914690
0.20,100177973741914080,100177973741914080
0.21,78556498186491060,78556498186491060
0.21,61156655953004904,61156655953004904
0.21,47266896366049150,47266896366049150
0.22,36267881252721224,36267881252721224
0.22,27627337017844172,27627337017844172
0.22,20893327315370744,20893327315370744
0.23,15686567853134320,15686567853134320
0.23,11692301316063418,11692301316063418
0.23,8652145360200311,8652145360200311
0.24,6356226396651245,6356226396651245
0.24,4635820908440392,4635820908440392
0.24,3356647099977989.5,3356647099977989.5
0.25,2412884094222804,2412884094222804
0.25,1721943823028950,1721943823028950
0.25,1219981483509687.5,1219981483509687.5
0.26,858102646532177.4,858102646532177.4
0.26,599207148276408.1,599207148276408.1
0.26,415399980584138.7,415399980584138.7
0.27,285895750490059.75,285895750490059.75
0.27,195344267149348.2,195344267149348.2
0.27,132509001828615.86,132509001828615.86
0.28,89236357908307.81,89236357908307.81
0.28,59660931914715.484,59660931914715.484
0.28,39599524491531.56,39599524491531.56
0.29,26094059666201.945,26094059666201.945
0.29,17070454062468.057,17070454062468.057
0.29,11086647447482.53,11086647447482.53
0.30,7148371972693.317,7148371972693.317
0.30,4575786908399.378,4575786908399.378
0.30,2907877998130.8735,2907877998130.8735
0.30,1834587007387.7322,1834587007387.7322
0.31,1149085084766.4246,1149085084766.4246
0.31,714525616780.6788,714525616780.6788
0.31,441098073979.7772,441098073979.7772
0.32,270336235244.37033,270336235244.37033
0.32,164484547107.33585,164484547107.33585
